Index,"Region, subregion, country or area",Note,"Country
code",Urban,Rural,Total,"Percentage urban"
1,WORLD,,900,4219817.318000001,3413002.007000001,7632819.325000002,55.285172337025024
2,"More developed regions",a,901,993837.0900000001,269362.58700000006,1263199.6770000001,78.67616720424478
3,"Less developed regions",b,902,3225980.228000001,3143639.420000001,6369619.648000002,50.6463557680862
4,"Least developed countries",c,941,344291.4320000001,681645.3019999997,1025936.7339999998,33.55873911032024
5,"Less developed regions, excluding least developed countries",d,934,2881688.7960000006,2461994.118000003,5343682.914000004,53.92701704755378
6,"Less developed regions, excluding China",,948,2362378.5370000014,2560439.789,4922818.326000001,47.98833474156529
7,"High-income countries",e,1503,975461.275,221729.75700000022,1197191.0320000004,81.47916655961049
8,"Middle-income countries",e,1517,3017642.113,2719999.603,5737641.716,52.59377044378698
9,"Upper-middle-income countries",e,1502,1759117.8090000001,881117.0099999991,2640234.818999999,66.62732406757192
10,"Lower-middle-income countries",e,1501,1258524.3039999995,1838882.5930000008,3097406.8970000003,40.631545865638316
11,"Low-income countries",e,1500,224131.43400000004,470928.66599999997,695060.1,32.24633869790541
12,"Sub-Saharan Africa",f,947,423958.01499999984,626177.8259999999,1050135.8409999998,40.37173082258412
13,AFRICA,,903,547602.182,740318.3359999999,1287920.518,42.518321150001285
14,"Eastern Africa",,910,121315.52100000001,312327.61100000003,433643.13200000004,27.97588893901818
15,Burundi,,108,1461.704,9754.746,11216.45,13.031788132608801
16,Comoros,,174,241.092,591.255,832.347,28.96532335672502
17,Djibouti,,262,755.533,215.875,971.408,77.7771029268855
18,Eritrea,,232,2079.314,3108.634,5187.948,40.07970010493551
19,Ethiopia,,231,22327.769,85207.113,107534.882,20.763280327959073
20,Kenya,,404,13771.805,37179.074,50950.879,27.029572934355066
21,Madagascar,,450,9767.285,16495.525,26262.81,37.19055577068867
22,Malawi,,454,3245.933,15918.795,19164.728,16.937015751019267
23,Mauritius,1,480,517.387,750.928,1268.315,40.79325719557049
24,Mayotte,,175,119.837,139.845,259.682,46.14759590576166
25,Mozambique,,508,10986.62,19542.053,30528.673,35.987872777830866
26,Réunion,,638,879.399,3.848,883.247,99.56433477838024
27,Rwanda,,646,2151.557,10349.599,12501.156,17.210864339265903
28,Seychelles,,690,53.989,41.246,95.235,56.690292434504116
29,Somalia,,706,6827.415,8354.51,15181.925,44.97068059551078
30,"South Sudan",,728,2534.064,10384.989,12919.053,19.61493617217918
31,Uganda,,800,10525.083,33745.48,44270.563,23.774450304596307
32,"United Republic of Tanzania",2,834,19958.545,39132.847,59091.392,33.77572320516666
33,Zambia,,894,7663.677,9945.501,17609.178,43.52092414535193
34,Zimbabwe,,716,5447.513,11465.748,16913.261,32.20853151855222
35,"Middle Africa",,911,83483.55799999999,85054.64499999999,168538.20299999998,49.533907751466884
36,Angola,,24,20161.538,10612.667,30774.205,65.51440727713356
37,Cameroon,,120,13912.132,10766.102,24678.234,56.374098730079304
38,"Central African Republic",,140,1959.587,2777.836,4737.423,41.363986285370764
39,Chad,,148,3540.279,11812.905,15353.184,23.058923803687886
40,Congo,,178,3613.4,1786.495,5399.895,66.91611596151407
41,"Democratic Republic of the Congo",,180,37348.939,46656.05,84004.989,44.46038198993157
42,"Equatorial Guinea",,226,947.881,366.013,1313.894,72.14288215031046
43,Gabon,,266,1847.776,219.785,2067.561,89.36984205060938
44,"Sao Tome and Principe",,678,152.026,56.792,208.818,72.803110842935
45,"Northern Africa",,912,123644.16700000002,114140.51000000001,237784.67700000003,51.99837456305059
46,Algeria,,12,30510.016,11498.038,42008.054,72.628967768895
47,Egypt,,818,42437.529,56938.212,99375.741,42.70411327046105
48,Libya,,434,5183.363,1287.593,6470.956,80.10196638641956
49,Morocco,,504,22602.743,13589.062,36191.805,62.45265468246195
50,Sudan,,729,14380.217,27131.309,41511.526,34.64150414513791
51,Tunisia,,788,8038.426,3620.748,11659.174,68.94507278131367
52,"Western Sahara",,732,491.873,75.548,567.421,86.68572365139816
53,"Southern Africa",,913,41970.076,24003.742,65973.818,63.61626062023574
54,Botswana,,72,1620.326,712.875,2333.201,69.4464814647345
55,Lesotho,,426,637.101,1625.909,2263.01,28.152814172274976
56,Namibia,,516,1294.741,1293.06,2587.801,50.03247931351754
57,"South Africa",,710,38086.769,19311.652,57398.421,66.35508144030652
58,Swaziland,,748,331.139,1060.246,1391.385,23.79923601303737
59,"Western Africa",,914,177188.86000000002,204791.828,381980.688,46.38686341127277
60,Benin,,204,5434.128,6051.546,11485.674,47.31222564735861
61,"Burkina Faso",,854,5798.77,13952.881,19751.651,29.35840654535664
62,"Cabo Verde",,132,363.715,189.62,553.335,65.73142851979361
63,"Côte d'Ivoire",,384,12646.82,12259.023,24905.843,50.77852614745865
64,Gambia,,270,1325.73,838.035,2163.765,61.269592585146725
65,Ghana,,288,16517.22,12946.423,29463.643,56.05966648455522
66,Guinea,,324,4717.171,8335.437,13052.608,36.13968181684458
67,Guinea-Bissau,,624,826.994,1080.274,1907.268,43.36013606897405
68,Liberia,,430,2482.642,2370.874,4853.516,51.15141270781841
69,Mali,,466,8093.32,11014.386,19107.706,42.356314253526826
70,Mauritania,,478,2436.744,2103.324,4540.068,53.671971433027
71,Niger,,562,3664.692,18646.683,22311.375,16.425218078222432
72,Nigeria,,566,98610.801,97264.436,195875.237,50.34367922679272
73,"Saint Helena",3,654,1.622,2.452,4.074,39.81345115365734
74,Senegal,,686,7689.641,8604.629,16294.27,47.192301342741956
75,"Sierra Leone",,694,3246.502,4473.227,7719.729,42.05461098440114
76,Togo,,768,3332.348,4658.578,7990.926,41.70165009662209
77,ASIA,,935,2266130.58,2279002.5140000004,4545133.0940000005,49.8583987120532
78,"Eastern Asia",,906,1039790.9679999999,614092.5650000004,1653883.5330000003,62.86966084691041
